ID_cliente;Nombre_cliente;País;Email;Teléfono
1;Cliente_1;EEUU;cliente1@mail.com;+56 9 48337864
2;Cliente_2;EEUU;cliente2@mail.com;+56 9 29158408
3;Cliente_3;España;cliente3@mail.com;+56 9 71372250
4;Cliente_4;EEUU;cliente4@mail.com;+56 9 88655795
5;Cliente_5;España;cliente5@mail.com;+56 9 37349934
6;Cliente_6;EEUU;cliente6@mail.com;+56 9 80244839
7;Cliente_7;Brasil;cliente7@mail.com;+56 9 64990587
8;Cliente_8;China;cliente8@mail.com;+56 9 23267363
9;Cliente_9;China;cliente9@mail.com;+56 9 27606064
10;Cliente_10;China;cliente10@mail.com;+56 9 83320952
11;Cliente_11;China;cliente11@mail.com;+56 9 96913107
12;Cliente_12;China;cliente12@mail.com;+56 9 88779972
13;Cliente_13;Japón;cliente13@mail.com;+56 9 13346413
14;Cliente_14;Japón;cliente14@mail.com;+56 9 67816223
15;Cliente_15;Japón;cliente15@mail.com;+56 9 43706657
16;Cliente_16;España;cliente16@mail.com;+56 9 65906331
17;Cliente_17;España;cliente17@mail.com;+56 9 72816017
18;Cliente_18;Brasil;cliente18@mail.com;+56 9 55509228
19;Cliente_19;España;cliente19@mail.com;+56 9 17309763
20;Cliente_20;Japón;cliente20@mail.com;+56 9 99565537
21;Cliente_21;España;cliente21@mail.com;+56 9 71973218
22;Cliente_22;Japón;cliente22@mail.com;+56 9 69030379
23;Cliente_23;Japón;cliente23@mail.com;+56 9 64570687
24;Cliente_24;China;cliente24@mail.com;+56 9 74375188
25;Cliente_25;Japón;cliente25@mail.com;+56 9 98628273
26;Cliente_26;Brasil;cliente26@mail.com;+56 9 97907200
27;Cliente_27;China;cliente27@mail.com;+56 9 93063892
28;Cliente_28;España;cliente28@mail.com;+56 9 69244926
29;Cliente_29;España;cliente29@mail.com;+56 9 33714614
30;Cliente_30;EEUU;cliente30@mail.com;+56 9 12166127
31;Cliente_31;España;cliente31@mail.com;+56 9 88501227
32;Cliente_32;España;cliente32@mail.com;+56 9 99984676
33;Cliente_33;Japón;cliente33@mail.com;+56 9 27510014
34;Cliente_34;España;cliente34@mail.com;+56 9 14700948
35;Cliente_35;Japón;cliente35@mail.com;+56 9 27481256
36;Cliente_36;Brasil;cliente36@mail.com;+56 9 42712635
37;Cliente_37;España;cliente37@mail.com;+56 9 91058735
38;Cliente_38;Japón;cliente38@mail.com;+56 9 15423148
39;Cliente_39;Japón;cliente39@mail.com;+56 9 30212239
40;Cliente_40;China;cliente40@mail.com;+56 9 69693066
41;Cliente_41;EEUU;cliente41@mail.com;+56 9 63973252
42;Cliente_42;EEUU;cliente42@mail.com;+56 9 89478265
43;Cliente_43;Japón;cliente43@mail.com;+56 9 25578324
44;Cliente_44;Brasil;cliente44@mail.com;+56 9 90809407
45;Cliente_45;Brasil;cliente45@mail.com;+56 9 72954894
46;Cliente_46;España;cliente46@mail.com;+56 9 16387476
47;Cliente_47;España;cliente47@mail.com;+56 9 14805691
48;Cliente_48;EEUU;cliente48@mail.com;+56 9 39177544
49;Cliente_49;EEUU;cliente49@mail.com;+56 9 51608039
50;Cliente_50;España;cliente50@mail.com;+56 9 53071874
51;Cliente_51;EEUU;cliente51@mail.com;+56 9 72711474
52;Cliente_52;España;cliente52@mail.com;+56 9 26115324
53;Cliente_53;Brasil;cliente53@mail.com;+56 9 78537620
54;Cliente_54;China;cliente54@mail.com;+56 9 68962883
55;Cliente_55;EEUU;cliente55@mail.com;+56 9 28013290
56;Cliente_56;España;cliente56@mail.com;+56 9 75570207
57;Cliente_57;China;cliente57@mail.com;+56 9 25675771
58;Cliente_58;China;cliente58@mail.com;+56 9 55032729
59;Cliente_59;EEUU;cliente59@mail.com;+56 9 83609871
60;Cliente_60;España;cliente60@mail.com;+56 9 30208176
61;Cliente_61;Brasil;cliente61@mail.com;+56 9 21522529
62;Cliente_62;China;cliente62@mail.com;+56 9 42098088
63;Cliente_63;EEUU;cliente63@mail.com;+56 9 24251571
64;Cliente_64;Brasil;cliente64@mail.com;+56 9 68462841
65;Cliente_65;Japón;cliente65@mail.com;+56 9 72098899
66;Cliente_66;España;cliente66@mail.com;+56 9 49424783
67;Cliente_67;EEUU;cliente67@mail.com;+56 9 35684885
68;Cliente_68;España;cliente68@mail.com;+56 9 12871268
69;Cliente_69;Japón;cliente69@mail.com;+56 9 91079872
70;Cliente_70;China;cliente70@mail.com;+56 9 71223923
71;Cliente_71;España;cliente71@mail.com;+56 9 95012480
72;Cliente_72;EEUU;cliente72@mail.com;+56 9 41098826
73;Cliente_73;España;cliente73@mail.com;+56 9 41641540
74;Cliente_74;China;cliente74@mail.com;+56 9 32832767
75;Cliente_75;Brasil;cliente75@mail.com;+56 9 47677890
76;Cliente_76;China;cliente76@mail.com;+56 9 80973443
77;Cliente_77;Japón;cliente77@mail.com;+56 9 25128233
78;Cliente_78;Brasil;cliente78@mail.com;+56 9 56748464
79;Cliente_79;España;cliente79@mail.com;+56 9 12841017
80;Cliente_80;EEUU;cliente80@mail.com;+56 9 73391242
81;Cliente_81;China;cliente81@mail.com;+56 9 91072723
82;Cliente_82;Brasil;cliente82@mail.com;+56 9 22741806
83;Cliente_83;Brasil;cliente83@mail.com;+56 9 33851265
84;Cliente_84;Brasil;cliente84@mail.com;+56 9 69952264
85;Cliente_85;España;cliente85@mail.com;+56 9 53673069
86;Cliente_86;EEUU;cliente86@mail.com;+56 9 56703797
87;Cliente_87;EEUU;cliente87@mail.com;+56 9 84613350
88;Cliente_88;España;cliente88@mail.com;+56 9 54574731
89;Cliente_89;Brasil;cliente89@mail.com;+56 9 88559465
90;Cliente_90;Brasil;cliente90@mail.com;+56 9 99272085
91;Cliente_91;Brasil;cliente91@mail.com;+56 9 71900386
92;Cliente_92;España;cliente92@mail.com;+56 9 43683498
93;Cliente_93;España;cliente93@mail.com;+56 9 28123747
94;Cliente_94;España;cliente94@mail.com;+56 9 96988803
95;Cliente_95;EEUU;cliente95@mail.com;+56 9 53298907
96;Cliente_96;Japón;cliente96@mail.com;+56 9 90150949
97;Cliente_97;China;cliente97@mail.com;+56 9 99068753
98;Cliente_98;Japón;cliente98@mail.com;+56 9 20127650
99;Cliente_99;Japón;cliente99@mail.com;+56 9 75339349
100;Cliente_100;Brasil;cliente100@mail.com;+56 9 64738066
101;Cliente_101;España;cliente101@mail.com;+56 9 48438427
102;Cliente_102;EEUU;cliente102@mail.com;+56 9 53635374
103;Cliente_103;China;cliente103@mail.com;+56 9 23819551
104;Cliente_104;China;cliente104@mail.com;+56 9 79646540
105;Cliente_105;EEUU;cliente105@mail.com;+56 9 76408001
106;Cliente_106;Brasil;cliente106@mail.com;+56 9 50760592
107;Cliente_107;Japón;cliente107@mail.com;+56 9 85973413
108;Cliente_108;Brasil;cliente108@mail.com;+56 9 66986308
109;Cliente_109;Japón;cliente109@mail.com;+56 9 28417330
110;Cliente_110;EEUU;cliente110@mail.com;+56 9 10688413
111;Cliente_111;China;cliente111@mail.com;+56 9 33143448
112;Cliente_112;China;cliente112@mail.com;+56 9 41476334
113;Cliente_113;EEUU;cliente113@mail.com;+56 9 93038991
114;Cliente_114;Brasil;cliente114@mail.com;+56 9 92478766
115;Cliente_115;Brasil;cliente115@mail.com;+56 9 99755877
116;Cliente_116;China;cliente116@mail.com;+56 9 75620810
117;Cliente_117;EEUU;cliente117@mail.com;+56 9 60540287
118;Cliente_118;EEUU;cliente118@mail.com;+56 9 23303050
119;Cliente_119;China;cliente119@mail.com;+56 9 92251648
120;Cliente_120;EEUU;cliente120@mail.com;+56 9 84747826
121;Cliente_121;Japón;cliente121@mail.com;+56 9 28525718
122;Cliente_122;España;cliente122@mail.com;+56 9 83262209
123;Cliente_123;España;cliente123@mail.com;+56 9 29414841
124;Cliente_124;Japón;cliente124@mail.com;+56 9 61134550
125;Cliente_125;Japón;cliente125@mail.com;+56 9 58975868
126;Cliente_126;China;cliente126@mail.com;+56 9 28526945
127;Cliente_127;EEUU;cliente127@mail.com;+56 9 98752555
128;Cliente_128;EEUU;cliente128@mail.com;+56 9 15416945
129;Cliente_129;China;cliente129@mail.com;+56 9 63889268
130;Cliente_130;Japón;correo_invalido;+56 9 69777903
131;Cliente_131;EEUU;cliente131@mail.com;+56 9 94561860
132;Cliente_132;EEUU;cliente132@mail.com;+56 9 10800108
133;Cliente_133;Brasil;cliente133@mail.com;+56 9 97585110
134;Cliente_134;Japón;cliente134@mail.com;+56 9 12427998
135;Cliente_135;España;cliente135@mail.com;+56 9 40874103
136;Cliente_136;España;cliente136@mail.com;+56 9 42263848
137;Cliente_137;EEUU;cliente137@mail.com;+56 9 15828263
138;Cliente_138;Brasil;cliente138@mail.com;+56 9 16624046
139;Cliente_139;España;correo_invalido;+56 9 74721635
140;Cliente_140;España;cliente140@mail.com;+56 9 52507696
141;Cliente_141;Japón;cliente141@mail.com;+56 9 37599321
142;Cliente_142;España;cliente142@mail.com;+56 9 73079935
143;Cliente_143;Japón;cliente143@mail.com;+56 9 44279635
144;Cliente_144;Brasil;cliente144@mail.com;+56 9 22747398
145;Cliente_145;China;cliente145@mail.com;+56 9 46043394
146;Cliente_146;España;cliente146@mail.com;+56 9 71782388
147;Cliente_147;España;cliente147@mail.com;+56 9 96371348
148;Cliente_148;España;cliente148@mail.com;+56 9 73821105
149;Cliente_149;Brasil;cliente149@mail.com;+56 9 73537364
150;Cliente_150;Brasil;cliente150@mail.com;+56 9 60328689
151;Cliente_151;Brasil;cliente151@mail.com;+56 9 94049416
152;Cliente_152;Japón;cliente152@mail.com;+56 9 74780223
153;Cliente_153;Brasil;cliente153@mail.com;+56 9 47922654
154;Cliente_154;España;cliente154@mail.com;+56 9 20726443
155;Cliente_155;España;cliente155@mail.com;+56 9 39629617
156;Cliente_156;EEUU;cliente156@mail.com;+56 9 48772317
157;Cliente_157;Japón;cliente157@mail.com;+56 9 22413545
158;Cliente_158;China;cliente158@mail.com;+56 9 14915649
159;Cliente_159;China;cliente159@mail.com;+56 9 65834132
160;Cliente_160;España;cliente160@mail.com;+56 9 11770500
161;Cliente_161;Brasil;cliente161@mail.com;+56 9 44508471
162;Cliente_162;España;cliente162@mail.com;+56 9 93122959
163;Cliente_163;España;cliente163@mail.com;+56 9 71539930
164;Cliente_164;Brasil;cliente164@mail.com;+56 9 19993961
165;Cliente_165;España;cliente165@mail.com;+56 9 55946539
166;Cliente_166;España;cliente166@mail.com;+56 9 66196901
167;Cliente_167;España;cliente167@mail.com;+56 9 69227417
168;Cliente_168;EEUU;cliente168@mail.com;+56 9 15433259
169;Cliente_169;Brasil;cliente169@mail.com;+56 9 63585844
170;Cliente_170;China;cliente170@mail.com;+56 9 67575248
171;Cliente_171;España;cliente171@mail.com;+56 9 93193296
172;Cliente_172;Japón;cliente172@mail.com;+56 9 44583592
173;Cliente_173;EEUU;cliente173@mail.com;+56 9 78856981
174;Cliente_174;España;cliente174@mail.com;+56 9 59329347
175;Cliente_175;China;cliente175@mail.com;+56 9 56100811
176;Cliente_176;España;cliente176@mail.com;+56 9 43069289
177;Cliente_177;Japón;cliente177@mail.com;+56 9 14176968
178;Cliente_178;China;cliente178@mail.com;+56 9 31445640
179;Cliente_179;Brasil;cliente179@mail.com;+56 9 81704206
180;Cliente_180;España;cliente180@mail.com;+56 9 79540999
181;Cliente_181;Japón;cliente181@mail.com;+56 9 47076060
182;Cliente_182;España;cliente182@mail.com;+56 9 14448827
183;Cliente_183;España;cliente183@mail.com;+56 9 60799762
184;Cliente_184;España;cliente184@mail.com;+56 9 40080437
185;Cliente_185;EEUU;cliente185@mail.com;+56 9 42790528
186;Cliente_186;China;cliente186@mail.com;+56 9 62176948
187;Cliente_187;China;cliente187@mail.com;+56 9 49574714
188;Cliente_188;España;cliente188@mail.com;+56 9 93132364
189;Cliente_189;Japón;cliente189@mail.com;+56 9 69640512
190;Cliente_190;China;cliente190@mail.com;+56 9 29381951
191;Cliente_191;Brasil;cliente191@mail.com;+56 9 82045188
192;Cliente_192;España;cliente192@mail.com;+56 9 62671634
193;Cliente_193;China;cliente193@mail.com;+56 9 46458556
194;Cliente_194;España;cliente194@mail.com;+56 9 75541153
195;Cliente_195;EEUU;cliente195@mail.com;+56 9 96668475
196;Cliente_196;Brasil;cliente196@mail.com;+56 9 95314500
197;Cliente_197;EEUU;cliente197@mail.com;+56 9 47320768
198;Cliente_198;China;cliente198@mail.com;+56 9 80024828
199;Cliente_199;Japón;cliente199@mail.com;+56 9 86395445
