ID_empleado;Nombre_empleado;Cargo;Planta;Turno;Sueldo_CLP
1;Empleado_1;Operario;Chinquihue;Mañana;1207541
2;Empleado_2;Técnico;Chinquihue;Tarde;675757
3;Empleado_3;Operario;Quellón;Noche;1064207
4;Empleado_4;Operario;Puerto Montt;Tarde;735537
5;Empleado_5;Técnico;Puerto Montt;Tarde;1840460
6;Empleado_6;Supervisor;Chinquihue;Tarde;1039318
7;Empleado_7;Técnico;Calbuco;Mañana;758121
8;Empleado_8;Técnico;Chinquihue;Tarde;834270
9;Empleado_9;Supervisor;Quellón;Tarde;1791883
10;Empleado_10;Supervisor;Quellón;Mañana;1462846
11;Empleado_11;Supervisor;Hornopirén;Mañana;1416432
12;Empleado_12;Técnico;Hornopirén;Noche;990410
13;Empleado_13;Supervisor;Hornopirén;Mañana;1610820
14;Empleado_14;Administrativo;Calbuco;Noche;1456021
15;Empleado_15;Técnico;Puerto Montt;Noche;1461979
16;Empleado_16;Técnico;Puerto Montt;Mañana;1565754
17;Empleado_17;Supervisor;Chinquihue;Tarde;1698346
18;Empleado_18;Supervisor;Quellón;Tarde;1769356
19;Empleado_19;Administrativo;Chinquihue;Tarde;1871734
20;Empleado_20;Supervisor;Quellón;Tarde;1821524
21;Empleado_21;Técnico;Puerto Montt;Noche;1864755
22;Empleado_22;Operario;Hornopirén;Noche;508843
23;Empleado_23;Administrativo;Quellón;Mañana;1567677
24;Empleado_24;Supervisor;Hornopirén;Mañana;1226010
25;Empleado_25;Administrativo;Quellón;Noche;1427145
26;Empleado_26;Administrativo;Quellón;Noche;1581479
27;Empleado_27;Operario;Chinquihue;Noche;1988271
28;Empleado_28;Supervisor;Chinquihue;Tarde;1188085
29;Empleado_29;Técnico;Quellón;Mañana;746191
30;Empleado_30;Operario;Hornopirén;Noche;1068919
31;Empleado_31;Administrativo;Chinquihue;Noche;1953394
32;Empleado_32;Operario;Calbuco;Tarde;970739
33;Empleado_33;Administrativo;Quellón;Tarde;1682268
34;Empleado_34;Administrativo;Calbuco;Noche;1236612
35;Empleado_35;Operario;Hornopirén;Tarde;900713
36;Empleado_36;Operario;Puerto Montt;Mañana;1188391
37;Empleado_37;Administrativo;Quellón;Mañana;1116656
38;Empleado_38;Operario;Hornopirén;Mañana;1658559
39;Empleado_39;Técnico;Calbuco;Mañana;1812341
40;Empleado_40;Operario;Puerto Montt;Mañana;1884672
41;Empleado_41;Técnico;Hornopirén;Tarde;773110
42;Empleado_42;Administrativo;Quellón;Noche;1276682
43;Empleado_43;Supervisor;Quellón;Noche;622553
44;Empleado_44;Supervisor;Quellón;Tarde;1918913
45;Empleado_45;Supervisor;Chinquihue;Mañana;581175
46;Empleado_46;Administrativo;Quellón;Mañana;1248976
47;Empleado_47;Supervisor;Quellón;Noche;1695367
48;Empleado_48;Administrativo;Calbuco;Noche;1322046
49;Empleado_49;Operario;Puerto Montt;Mañana;1255151
50;Empleado_50;Técnico;Calbuco;Noche;1203743
51;Empleado_51;Supervisor;Puerto Montt;Noche;1423685
52;Empleado_52;Administrativo;Chinquihue;Mañana;1372839
53;Empleado_53;Técnico;Puerto Montt;Mañana;602769
54;Empleado_54;Administrativo;Chinquihue;Mañana;1452557
55;Empleado_55;Operario;Quellón;Mañana;1511273
56;Empleado_56;Operario;Calbuco;Noche;1366478
57;Empleado_57;Técnico;Calbuco;Noche;937628
58;Empleado_58;Operario;Chinquihue;Noche;1348911
59;Empleado_59;Técnico;Calbuco;Tarde;576833
60;Empleado_60;Supervisor;Calbuco;Tarde;509946
61;Empleado_61;Operario;Calbuco;Mañana;1135830
62;Empleado_62;Operario;Calbuco;Mañana;1743677
63;Empleado_63;Técnico;Quellón;Tarde;1438865
64;Empleado_64;Supervisor;Chinquihue;Tarde;1147239
65;Empleado_65;Supervisor;Calbuco;Noche;805839
66;Empleado_66;Operario;Quellón;Mañana;1063041
67;Empleado_67;Administrativo;Calbuco;Tarde;1214518
68;Empleado_68;Técnico;Puerto Montt;Mañana;924613
69;Empleado_69;Operario;Chinquihue;Tarde;853539
70;Empleado_70;Supervisor;Hornopirén;Noche;1866267
71;Empleado_71;Técnico;Calbuco;Noche;1049397
72;Empleado_72;Supervisor;Chinquihue;Noche;1801123
73;Empleado_73;Técnico;Chinquihue;Noche;538842
74;Empleado_74;Operario;Chinquihue;Mañana;1849606
75;Empleado_75;Supervisor;Calbuco;Mañana;835561
76;Empleado_76;Supervisor;Hornopirén;Noche;777661
77;Empleado_77;Administrativo;Chinquihue;Tarde;1682981
78;Empleado_78;Operario;Chinquihue;Mañana;831282
79;Empleado_79;Técnico;Calbuco;Noche;1943237
80;Empleado_80;Administrativo;Calbuco;Noche;1982140
81;Empleado_81;Supervisor;Calbuco;Tarde;1093273
82;Empleado_82;Operario;Quellón;Noche;1702430
83;Empleado_83;Operario;Hornopirén;Tarde;804371
84;Empleado_84;Operario;Hornopirén;Tarde;1613085
85;Empleado_85;Supervisor;Puerto Montt;Tarde;1116140
86;Empleado_86;Operario;Hornopirén;Noche;564749
87;Empleado_87;Técnico;Chinquihue;Tarde;1409520
88;Empleado_88;Técnico;Hornopirén;Noche;1220495
89;Empleado_89;Operario;Puerto Montt;Tarde;1106966
90;Empleado_90;Administrativo;Chinquihue;Mañana;944077
91;Empleado_91;Supervisor;Calbuco;Tarde;1168300
92;Empleado_92;Supervisor;Quellón;Tarde;1739474
93;Empleado_93;Administrativo;Hornopirén;Tarde;1025402
94;Empleado_94;Técnico;Puerto Montt;Mañana;1609651
95;Empleado_95;Supervisor;Hornopirén;Noche;1800666
96;Empleado_96;Supervisor;Puerto Montt;Mañana;1749255
97;Empleado_97;Técnico;Hornopirén;Tarde;605225
98;Empleado_98;Operario;Quellón;Mañana;1662589
99;Empleado_99;Administrativo;Quellón;Noche;1247092
100;Empleado_100;Administrativo;Puerto Montt;Tarde;1243505
101;Empleado_101;Operario;Chinquihue;Noche;1086595
102;Empleado_102;Técnico;Chinquihue;Tarde;595082
103;Empleado_103;Técnico;Quellón;Tarde;752420
104;Empleado_104;Administrativo;Quellón;Noche;1085974
105;Empleado_105;Operario;Calbuco;Noche;535040
106;Empleado_106;Técnico;Chinquihue;Tarde;1019959
107;Empleado_107;Técnico;Hornopirén;Mañana;806076
108;Empleado_108;Administrativo;Quellón;Mañana;1475449
109;Empleado_109;Técnico;Chinquihue;Tarde;581147
110;Empleado_110;Supervisor;Chinquihue;Mañana;1359927
111;Empleado_111;Administrativo;Calbuco;Mañana;601868
112;Empleado_112;Técnico;Chinquihue;Noche;964425
113;Empleado_113;Operario;Puerto Montt;Mañana;1014011
114;Empleado_114;Supervisor;Hornopirén;Noche;1705256
115;Empleado_115;Operario;Calbuco;Noche;1204440
116;Empleado_116;Administrativo;Puerto Montt;Tarde;1966831
117;Empleado_117;Operario;Hornopirén;Noche;1564660
118;Empleado_118;Operario;Hornopirén;Mañana;511068
119;Empleado_119;Administrativo;Quellón;Noche;1951521
120;Empleado_120;Supervisor;Chinquihue;Noche;1980083
121;Empleado_121;Administrativo;Quellón;Tarde;1402162
122;Empleado_122;Supervisor;Quellón;Noche;1504128
123;Empleado_123;Administrativo;Chinquihue;Mañana;1758329
